complaint_id,area_id,state,district,latitude,longitude,technology,coverage_status,last_updated,issue_type,network_type,status,reported_date,call_duration,signal_strength,dropped_call
CMP-00016,AREA-0041,Perak,Ipoh,4.213681,100.934076,5G,Moderate,20/12/2025,Service Outage,Fiber,Resolved,11/12/2025,2919,5,0
CMP-00017,AREA-0039,Selangor,Petaling,3.025502,101.882891,5G,Moderate,3/1/2026,No Connectivity,5G,Submitted,25/12/2025,130,5,0
CMP-00018,AREA-0000,Kedah,Sungai Petani,5.554483,100.334572,4G,Moderate,17/12/2025,Call Drop,4G,In Progress,9/10/2025,1685,1,0
CMP-00019,AREA-0090,Johor,Batu Pahat,2.295621,102.430992,5G,Poor,27/12/2025,Call Drop,4G,Resolved,9/9/2025,3380,3,0
CMP-00020,AREA-0045,Perak,Taiping,4.19267,100.520043,Fiber,Moderate,11/1/2026,Call Drop,5G,Submitted,22/11/2025,769,4,0
CMP-00021,AREA-0041,Perak,Ipoh,4.882769,101.230741,5G,Moderate,20/12/2025,Call Drop,Fiber,Resolved,9/9/2025,2391,0,1
CMP-00022,AREA-0001,Penang,Seberang Perai,5.306813,100.398597,4G,Good,2/1/2026,Service Outage,5G,In Progress,27/11/2025,1515,3,0
CMP-00023,AREA-0012,Sarawak,Kuching,4.932906,111.011651,4G,Good,5/1/2026,Call Drop,4G,In Progress,19/11/2025,3485,1,0
CMP-00024,AREA-0013,Pahang,Kuantan,3.885587,103.718108,5G,Poor,22/12/2025,Poor Coverage,5G,In Progress,20/12/2025,2853,5,0
CMP-00025,AREA-0013,Pahang,Kuantan,3.14309,103.582396,5G,Poor,22/12/2025,Service Outage,Fiber,Submitted,29/12/2025,2433,4,0
CMP-00026,AREA-0003,Penang,George Town,5.255564,100.306022,Fiber,Good,4/1/2026,No Connectivity,4G,Submitted,4/9/2025,1215,3,0
CMP-00027,AREA-0090,Johor,Batu Pahat,2.256764,102.137012,5G,Poor,27/12/2025,Call Drop,5G,Resolved,10/12/2025,955,0,0
CMP-00028,AREA-0041,Perak,Ipoh,4.677044,101.074027,5G,Moderate,20/12/2025,Call Drop,5G,Submitted,10/12/2025,2324,0,1
CMP-00029,AREA-0000,Kedah,Sungai Petani,5.980092,100.355091,4G,Moderate,17/12/2025,Slow Speed,Fiber,Resolved,8/12/2025,1184,2,0
CMP-00030,AREA-0021,Pahang,Temerloh,3.454461,103.834192,4G,Good,29/12/2025,No Connectivity,5G,Resolved,17/9/2025,459,2,0
CMP-00031,AREA-0003,Penang,George Town,5.302057,100.259988,Fiber,Good,4/1/2026,Call Drop,Fiber,In Progress,4/9/2025,3385,1,1
CMP-00032,AREA-0012,Sarawak,Kuching,3.999669,110.629475,4G,Good,5/1/2026,Slow Speed,5G,Submitted,18/9/2025,21,3,1
CMP-00033,AREA-0022,Sabah,Sandakan,4.412438,116.175872,4G,Good,5/1/2026,No Connectivity,4G,Submitted,16/9/2025,2300,3,1
CMP-00034,AREA-0021,Pahang,Temerloh,3.189504,103.465814,4G,Good,29/12/2025,Slow Speed,5G,In Progress,27/9/2025,747,5,1
CMP-00035,AREA-0007,Sabah,Kota Kinabalu,5.410125,116.0179,4G,Good,17/12/2025,Slow Speed,5G,Resolved,24/9/2025,2904,5,0
CMP-00036,AREA-0004,Johor,Johor Bahru,2.295278,102.238867,Fiber,Moderate,12/1/2026,Call Drop,Fiber,Resolved,25/11/2025,474,5,0
CMP-00037,AREA-0022,Sabah,Sandakan,5.195737,115.626035,4G,Good,5/1/2026,No Connectivity,5G,Resolved,22/11/2025,1082,2,0
CMP-00038,AREA-0001,Penang,Seberang Perai,5.262524,100.463087,4G,Good,2/1/2026,Poor Coverage,5G,Resolved,12/11/2025,2558,3,0
CMP-00039,AREA-0023,Selangor,Hulu Langat,3.041031,101.407504,4G,Good,26/12/2025,Service Outage,Fiber,Submitted,10/10/2025,2047,3,0
CMP-00040,AREA-0004,Johor,Johor Bahru,1.500078,102.895095,Fiber,Moderate,12/1/2026,Service Outage,5G,In Progress,23/11/2025,3547,0,0
CMP-00041,AREA-0045,Perak,Taiping,4.094029,101.070228,Fiber,Moderate,11/1/2026,Call Drop,Fiber,In Progress,25/12/2025,2747,2,0
CMP-00042,AREA-0023,Selangor,Hulu Langat,3.014782,101.57239,4G,Good,26/12/2025,Poor Coverage,4G,In Progress,17/9/2025,975,4,0
CMP-00043,AREA-0005,Kedah,Alor Setar,5.3847,100.458583,5G,Poor,3/1/2026,Poor Coverage,Fiber,Submitted,15/12/2025,1806,2,0
CMP-00044,AREA-0041,Perak,Ipoh,4.488857,101.229705,5G,Moderate,20/12/2025,Poor Coverage,5G,In Progress,27/10/2025,189,4,0
CMP-00045,AREA-0022,Sabah,Sandakan,5.609824,116.944003,4G,Good,5/1/2026,Poor Coverage,4G,Resolved,28/11/2025,3005,0,0
CMP-00046,AREA-0013,Pahang,Kuantan,3.190269,103.157794,5G,Poor,22/12/2025,No Connectivity,Fiber,Submitted,29/11/2025,2734,1,0
CMP-00047,AREA-0030,Selangor,Gombak,3.11919,101.590249,4G,Moderate,28/12/2025,Call Drop,Fiber,Submitted,10/10/2025,3005,3,1
CMP-00048,AREA-0012,Sarawak,Kuching,3.687477,112.48917,4G,Good,5/1/2026,No Connectivity,Fiber,In Progress,18/11/2025,562,0,0
CMP-00049,AREA-0012,Sarawak,Kuching,3.691932,113.514044,4G,Good,5/1/2026,Call Drop,Fiber,Submitted,28/12/2025,1899,3,0
CMP-00050,AREA-0001,Penang,Seberang Perai,5.290423,100.212801,4G,Good,2/1/2026,Poor Coverage,5G,In Progress,2/9/2025,1267,5,0
CMP-00051,AREA-0030,Selangor,Gombak,2.905759,101.47761,4G,Moderate,28/12/2025,Service Outage,Fiber,Resolved,11/12/2025,2879,1,1
CMP-00052,AREA-0039,Selangor,Petaling,3.076748,101.710511,5G,Moderate,3/1/2026,Call Drop,5G,Resolved,15/12/2025,1528,1,0
CMP-00053,AREA-0013,Pahang,Kuantan,3.709168,103.547042,5G,Poor,22/12/2025,Call Drop,5G,Resolved,12/9/2025,3202,0,0
CMP-00054,AREA-0003,Penang,George Town,5.403388,100.37171,Fiber,Good,4/1/2026,Service Outage,5G,Submitted,30/12/2025,3556,1,0
CMP-00055,AREA-0030,Selangor,Gombak,3.053686,101.846447,4G,Moderate,28/12/2025,Service Outage,Fiber,Resolved,27/12/2025,646,4,0
CMP-00056,AREA-0005,Kedah,Alor Setar,5.535307,100.367018,5G,Poor,3/1/2026,No Connectivity,4G,Resolved,22/9/2025,2068,1,1
CMP-00057,AREA-0021,Pahang,Temerloh,3.117619,103.551349,4G,Good,29/12/2025,Call Drop,Fiber,Submitted,20/10/2025,2888,3,0
CMP-00058,AREA-0007,Sabah,Kota Kinabalu,5.302368,116.59716,4G,Good,17/12/2025,Poor Coverage,5G,Submitted,6/10/2025,2214,3,0
CMP-00059,AREA-0022,Sabah,Sandakan,5.575342,116.568745,4G,Good,5/1/2026,Call Drop,5G,Resolved,16/11/2025,1297,3,1
CMP-00060,AREA-0014,Johor,Kulai,1.854902,102.875653,4G,Good,11/1/2026,No Connectivity,4G,In Progress,26/10/2025,2435,3,1
CMP-00061,AREA-0002,Sarawak,Miri,4.938479,113.141691,5G,Moderate,31/12/2025,Slow Speed,Fiber,Resolved,19/10/2025,600,4,0
CMP-00062,AREA-0021,Pahang,Temerloh,3.016138,103.771163,4G,Good,29/12/2025,No Connectivity,4G,In Progress,7/12/2025,2363,2,1
CMP-00063,AREA-0000,Kedah,Sungai Petani,5.451993,100.457874,4G,Moderate,17/12/2025,Service Outage,Fiber,Resolved,8/12/2025,2061,5,0
CMP-00064,AREA-0004,Johor,Johor Bahru,2.431979,102.811978,Fiber,Moderate,12/1/2026,Service Outage,4G,Submitted,14/9/2025,241,0,0
CMP-00065,AREA-0013,Pahang,Kuantan,3.509379,103.604369,5G,Poor,22/12/2025,Slow Speed,4G,Resolved,10/12/2025,2041,3,0
CMP-00066,AREA-0007,Sabah,Kota Kinabalu,4.916142,116.879706,4G,Good,17/12/2025,Call Drop,Fiber,In Progress,5/10/2025,2824,1,0
CMP-00067,AREA-0003,Penang,George Town,5.233732,100.247712,Fiber,Good,4/1/2026,Slow Speed,Fiber,In Progress,4/12/2025,3417,3,0
CMP-00068,AREA-0030,Selangor,Gombak,3.154941,101.55273,4G,Moderate,28/12/2025,Poor Coverage,Fiber,Resolved,8/12/2025,2612,1,1
CMP-00069,AREA-0090,Johor,Batu Pahat,1.724051,102.94853,5G,Poor,27/12/2025,Slow Speed,5G,Submitted,13/9/2025,2945,5,1
CMP-00070,AREA-0045,Perak,Taiping,4.479983,100.947634,Fiber,Moderate,11/1/2026,Poor Coverage,5G,Resolved,20/10/2025,1363,5,0
CMP-00071,AREA-0000,Kedah,Sungai Petani,5.766847,100.356671,4G,Moderate,17/12/2025,Service Outage,4G,Resolved,20/10/2025,2139,5,1
CMP-00072,AREA-0045,Perak,Taiping,4.805567,101.317348,Fiber,Moderate,11/1/2026,Service Outage,Fiber,In Progress,19/12/2025,1390,1,0
CMP-00073,AREA-0002,Sarawak,Miri,1.87457,110.425705,5G,Moderate,31/12/2025,No Connectivity,5G,Submitted,13/12/2025,3003,3,0
CMP-00074,AREA-0002,Sarawak,Miri,2.871792,113.988994,5G,Moderate,31/12/2025,No Connectivity,Fiber,In Progress,3/9/2025,1478,5,0
CMP-00075,AREA-0004,Johor,Johor Bahru,1.485112,103.126646,Fiber,Moderate,12/1/2026,No Connectivity,4G,Submitted,24/10/2025,3499,4,0
CMP-00076,AREA-0005,Kedah,Alor Setar,5.821463,100.434634,5G,Poor,3/1/2026,No Connectivity,5G,In Progress,31/10/2025,2556,1,1
CMP-00077,AREA-0005,Kedah,Alor Setar,5.91932,100.416583,5G,Poor,3/1/2026,Call Drop,5G,In Progress,26/11/2025,775,1,1
CMP-00078,AREA-0005,Kedah,Alor Setar,5.736007,100.450381,5G,Poor,3/1/2026,Service Outage,5G,Submitted,20/11/2025,34,3,0
CMP-00079,AREA-0012,Sarawak,Kuching,1.7098,112.374619,4G,Good,5/1/2026,Call Drop,5G,In Progress,26/9/2025,2253,1,0
CMP-00080,AREA-0002,Sarawak,Miri,2.598697,113.879901,5G,Moderate,31/12/2025,Poor Coverage,4G,Resolved,27/9/2025,3152,1,0
CMP-00081,AREA-0023,Selangor,Hulu Langat,3.290157,101.555432,4G,Good,26/12/2025,Poor Coverage,Fiber,In Progress,4/11/2025,1955,5,0
CMP-00082,AREA-0039,Selangor,Petaling,2.999858,101.639467,5G,Moderate,3/1/2026,No Connectivity,Fiber,Submitted,15/12/2025,1585,3,1
CMP-00083,AREA-0039,Selangor,Petaling,3.198455,101.586303,5G,Moderate,3/1/2026,Service Outage,5G,In Progress,15/11/2025,3459,5,0
CMP-00084,AREA-0007,Sabah,Kota Kinabalu,4.609894,116.393797,4G,Good,17/12/2025,Poor Coverage,5G,In Progress,18/12/2025,3073,5,0
CMP-00085,AREA-0003,Penang,George Town,5.469624,100.358833,Fiber,Good,4/1/2026,Slow Speed,4G,In Progress,23/12/2025,1021,3,0
CMP-00086,AREA-0007,Sabah,Kota Kinabalu,4.985523,115.606345,4G,Good,17/12/2025,Call Drop,5G,Submitted,7/10/2025,3461,0,0
CMP-00087,AREA-0013,Pahang,Kuantan,3.402521,103.619931,5G,Poor,22/12/2025,Service Outage,Fiber,Resolved,28/9/2025,2613,5,0
CMP-00088,AREA-0022,Sabah,Sandakan,5.431849,115.796922,4G,Good,5/1/2026,Poor Coverage,4G,Resolved,8/11/2025,1129,4,0
CMP-00089,AREA-0045,Perak,Taiping,4.892274,101.097328,Fiber,Moderate,11/1/2026,Service Outage,5G,Resolved,27/9/2025,1500,4,0
CMP-00090,AREA-0012,Sarawak,Kuching,2.226161,110.614507,4G,Good,5/1/2026,Slow Speed,Fiber,Resolved,27/11/2025,702,1,0
CMP-00091,AREA-0002,Sarawak,Miri,2.102556,112.877432,5G,Moderate,31/12/2025,Poor Coverage,4G,In Progress,14/11/2025,2449,4,1
CMP-00092,AREA-0045,Perak,Taiping,4.853951,101.303203,Fiber,Moderate,11/1/2026,Call Drop,Fiber,Submitted,24/9/2025,2777,1,0
CMP-00093,AREA-0007,Sabah,Kota Kinabalu,5.786181,116.340962,4G,Good,17/12/2025,Poor Coverage,4G,In Progress,30/9/2025,1579,0,0
CMP-00094,AREA-0090,Johor,Batu Pahat,1.203703,103.269036,5G,Poor,27/12/2025,Service Outage,Fiber,Submitted,22/10/2025,161,3,1
CMP-00095,AREA-0012,Sarawak,Kuching,3.953992,113.14141,4G,Good,5/1/2026,Slow Speed,4G,Submitted,21/11/2025,201,3,0
CMP-00096,AREA-0000,Kedah,Sungai Petani,5.109601,100.355624,4G,Moderate,17/12/2025,Slow Speed,4G,Resolved,12/11/2025,1981,3,1
CMP-00097,AREA-0013,Pahang,Kuantan,3.378233,103.227143,5G,Poor,22/12/2025,Call Drop,4G,Submitted,10/11/2025,995,4,0
CMP-00098,AREA-0022,Sabah,Sandakan,4.55403,116.042531,4G,Good,5/1/2026,Service Outage,5G,In Progress,19/9/2025,2317,0,0
CMP-00099,AREA-0005,Kedah,Alor Setar,6.048283,100.388904,5G,Poor,3/1/2026,Poor Coverage,4G,Submitted,19/9/2025,815,4,0
CMP-00100,AREA-0001,Penang,Seberang Perai,5.253097,100.42061,4G,Good,2/1/2026,Service Outage,5G,Submitted,11/9/2025,3342,4,0
CMP-00101,AREA-0012,Sarawak,Kuching,3.882884,110.99429,4G,Good,5/1/2026,No Connectivity,Fiber,Submitted,15/12/2025,455,0,0
CMP-00102,AREA-0045,Perak,Taiping,4.196967,101.401747,Fiber,Moderate,11/1/2026,Poor Coverage,4G,In Progress,24/10/2025,3533,0,0
CMP-00103,AREA-0013,Pahang,Kuantan,3.70103,102.714319,5G,Poor,22/12/2025,Poor Coverage,Fiber,Submitted,13/11/2025,1275,0,0
CMP-00104,AREA-0041,Perak,Ipoh,4.846525,100.603403,5G,Moderate,20/12/2025,Service Outage,5G,Submitted,12/9/2025,1016,0,0
CMP-00105,AREA-0021,Pahang,Temerloh,3.238291,103.771736,4G,Good,29/12/2025,Poor Coverage,Fiber,In Progress,13/11/2025,2343,3,0
CMP-00106,AREA-0030,Selangor,Gombak,2.915266,101.639859,4G,Moderate,28/12/2025,No Connectivity,4G,Submitted,20/9/2025,2767,2,1
CMP-00107,AREA-0045,Perak,Taiping,4.032799,101.233481,Fiber,Moderate,11/1/2026,No Connectivity,4G,In Progress,5/9/2025,337,2,1
CMP-00108,AREA-0021,Pahang,Temerloh,3.755401,102.983747,4G,Good,29/12/2025,No Connectivity,4G,Resolved,26/10/2025,878,0,1
CMP-00109,AREA-0021,Pahang,Temerloh,3.099598,102.80868,4G,Good,29/12/2025,Call Drop,4G,Submitted,22/9/2025,1076,2,0
CMP-00110,AREA-0030,Selangor,Gombak,3.067612,101.672313,4G,Moderate,28/12/2025,Poor Coverage,5G,In Progress,7/9/2025,791,2,0
CMP-00111,AREA-0090,Johor,Batu Pahat,1.914056,103.502553,5G,Poor,27/12/2025,Service Outage,5G,Submitted,22/10/2025,2264,0,0
CMP-00112,AREA-0004,Johor,Johor Bahru,1.787688,102.933151,Fiber,Moderate,12/1/2026,Poor Coverage,Fiber,Submitted,29/9/2025,763,2,0
CMP-00113,AREA-0007,Sabah,Kota Kinabalu,5.310564,116.521302,4G,Good,17/12/2025,No Connectivity,5G,Submitted,21/11/2025,2235,4,0
CMP-00114,AREA-0039,Selangor,Petaling,2.878892,101.837945,5G,Moderate,3/1/2026,Call Drop,4G,Submitted,26/10/2025,379,1,0
CMP-00115,AREA-0023,Selangor,Hulu Langat,2.905059,101.59938,4G,Good,26/12/2025,Poor Coverage,4G,Submitted,11/9/2025,492,1,0
CMP-00116,AREA-0013,Pahang,Kuantan,3.823061,103.333109,5G,Poor,22/12/2025,Poor Coverage,Fiber,In Progress,6/9/2025,3112,0,0
CMP-00117,AREA-0001,Penang,Seberang Perai,5.302532,100.372544,4G,Good,2/1/2026,Service Outage,Fiber,In Progress,12/11/2025,1180,3,0
CMP-00118,AREA-0090,Johor,Batu Pahat,2.084261,102.5137,5G,Poor,27/12/2025,No Connectivity,Fiber,Submitted,3/10/2025,2062,0,0
CMP-00119,AREA-0001,Penang,Seberang Perai,5.252585,100.245358,4G,Good,2/1/2026,Slow Speed,5G,Resolved,17/9/2025,64,3,0
CMP-00120,AREA-0007,Sabah,Kota Kinabalu,4.730186,115.604424,4G,Good,17/12/2025,Service Outage,4G,Resolved,1/9/2025,2568,1,1
CMP-00121,AREA-0041,Perak,Ipoh,4.811603,100.622561,5G,Moderate,20/12/2025,Poor Coverage,4G,Resolved,2/11/2025,1367,0,0
CMP-00122,AREA-0002,Sarawak,Miri,4.786625,113.834398,5G,Moderate,31/12/2025,Call Drop,5G,Resolved,10/11/2025,1152,5,0
CMP-00123,AREA-0013,Pahang,Kuantan,3.599242,103.770554,5G,Poor,22/12/2025,Slow Speed,4G,Submitted,15/9/2025,2027,4,0
CMP-00124,AREA-0005,Kedah,Alor Setar,5.986728,100.442618,5G,Poor,3/1/2026,Poor Coverage,4G,Submitted,2/10/2025,2695,2,0
CMP-00125,AREA-0002,Sarawak,Miri,4.680921,111.77018,5G,Moderate,31/12/2025,No Connectivity,Fiber,Submitted,29/11/2025,1495,3,0
CMP-00126,AREA-0003,Penang,George Town,5.439068,100.265884,Fiber,Good,4/1/2026,Call Drop,Fiber,In Progress,10/12/2025,3134,5,0
CMP-00127,AREA-0022,Sabah,Sandakan,5.300405,115.724515,4G,Good,5/1/2026,Slow Speed,Fiber,Submitted,1/11/2025,1162,2,0
CMP-00128,AREA-0002,Sarawak,Miri,2.691673,113.25657,5G,Moderate,31/12/2025,Service Outage,4G,In Progress,19/10/2025,1522,2,0
CMP-00129,AREA-0045,Perak,Taiping,4.268362,101.420786,Fiber,Moderate,11/1/2026,Call Drop,Fiber,Submitted,11/9/2025,2640,0,0
CMP-00130,AREA-0000,Kedah,Sungai Petani,5.609452,100.409194,4G,Moderate,17/12/2025,Call Drop,Fiber,Resolved,22/12/2025,391,2,0
CMP-00131,AREA-0005,Kedah,Alor Setar,5.416313,100.42256,5G,Poor,3/1/2026,No Connectivity,4G,In Progress,18/11/2025,1698,4,1
CMP-00132,AREA-0002,Sarawak,Miri,1.75692,113.414201,5G,Moderate,31/12/2025,Slow Speed,5G,Submitted,8/12/2025,418,5,0
CMP-00133,AREA-0005,Kedah,Alor Setar,5.850459,100.456391,5G,Poor,3/1/2026,Service Outage,Fiber,In Progress,30/12/2025,2336,2,0
CMP-00134,AREA-0041,Perak,Ipoh,4.377075,100.791665,5G,Moderate,20/12/2025,Call Drop,Fiber,In Progress,22/12/2025,378,0,1
CMP-00135,AREA-0012,Sarawak,Kuching,1.935399,110.368349,4G,Good,5/1/2026,No Connectivity,4G,Submitted,4/12/2025,1796,4,0
CMP-00136,AREA-0000,Kedah,Sungai Petani,5.430274,100.409903,4G,Moderate,17/12/2025,Slow Speed,4G,Submitted,27/9/2025,3561,1,0
CMP-00137,AREA-0090,Johor,Batu Pahat,1.452246,103.506183,5G,Poor,27/12/2025,No Connectivity,5G,Submitted,30/10/2025,2278,5,0
CMP-00138,AREA-0030,Selangor,Gombak,2.945888,101.625914,4G,Moderate,28/12/2025,Poor Coverage,Fiber,Submitted,26/10/2025,3065,2,0
CMP-00139,AREA-0090,Johor,Batu Pahat,1.823687,103.689819,5G,Poor,27/12/2025,Service Outage,4G,Submitted,30/9/2025,2088,0,1
CMP-00140,AREA-0004,Johor,Johor Bahru,1.339205,102.539023,Fiber,Moderate,12/1/2026,Service Outage,4G,Resolved,11/10/2025,3099,1,0
CMP-00141,AREA-0039,Selangor,Petaling,2.864459,101.818931,5G,Moderate,3/1/2026,Poor Coverage,5G,Submitted,17/11/2025,2182,1,1
CMP-00142,AREA-0005,Kedah,Alor Setar,6.138175,100.403144,5G,Poor,3/1/2026,No Connectivity,Fiber,Submitted,9/11/2025,200,3,0
CMP-00143,AREA-0045,Perak,Taiping,4.214804,100.540068,Fiber,Moderate,11/1/2026,No Connectivity,Fiber,Resolved,4/11/2025,1863,4,0
CMP-00144,AREA-0002,Sarawak,Miri,3.441048,112.03019,5G,Moderate,31/12/2025,Slow Speed,Fiber,Resolved,27/9/2025,779,2,0
CMP-00145,AREA-0005,Kedah,Alor Setar,5.700489,100.364331,5G,Poor,3/1/2026,Slow Speed,4G,Resolved,28/9/2025,2977,0,0
CMP-00146,AREA-0022,Sabah,Sandakan,5.724253,116.866373,4G,Good,5/1/2026,Call Drop,4G,Resolved,19/9/2025,3104,3,0
CMP-00147,AREA-0001,Penang,Seberang Perai,5.294376,100.371653,4G,Good,2/1/2026,Call Drop,4G,Resolved,19/12/2025,3119,4,1
CMP-00148,AREA-0012,Sarawak,Kuching,3.371839,112.056803,4G,Good,5/1/2026,Poor Coverage,5G,Submitted,10/11/2025,502,3,0
CMP-00149,AREA-0041,Perak,Ipoh,4.481425,100.588461,5G,Moderate,20/12/2025,No Connectivity,4G,In Progress,18/10/2025,2454,5,1
CMP-00150,AREA-0021,Pahang,Temerloh,3.165319,103.386852,4G,Good,29/12/2025,Service Outage,4G,Submitted,14/10/2025,1751,4,0
CMP-00151,AREA-0039,Selangor,Petaling,3.162707,101.500489,5G,Moderate,3/1/2026,Slow Speed,4G,Submitted,30/11/2025,804,4,1
CMP-00152,AREA-0002,Sarawak,Miri,4.489705,112.058219,5G,Moderate,31/12/2025,Slow Speed,5G,Submitted,11/9/2025,2146,2,0
CMP-00153,AREA-0012,Sarawak,Kuching,2.669103,113.931742,4G,Good,5/1/2026,Poor Coverage,5G,Submitted,27/9/2025,2731,4,0
CMP-00154,AREA-0002,Sarawak,Miri,3.502068,109.91389,5G,Moderate,31/12/2025,No Connectivity,4G,In Progress,28/12/2025,1895,3,1
CMP-00155,AREA-0012,Sarawak,Kuching,4.844588,110.565498,4G,Good,5/1/2026,Service Outage,4G,In Progress,20/10/2025,2773,4,0
CMP-00156,AREA-0002,Sarawak,Miri,2.209472,109.651957,5G,Moderate,31/12/2025,Poor Coverage,5G,Resolved,5/11/2025,1570,2,0
CMP-00157,AREA-0014,Johor,Kulai,1.59848,103.894441,4G,Good,11/1/2026,Slow Speed,4G,In Progress,20/11/2025,960,2,0
CMP-00158,AREA-0013,Pahang,Kuantan,3.338463,103.705696,5G,Poor,22/12/2025,Call Drop,Fiber,Resolved,15/9/2025,2660,5,0
CMP-00159,AREA-0023,Selangor,Hulu Langat,2.996994,101.676248,4G,Good,26/12/2025,Slow Speed,Fiber,Resolved,7/9/2025,1485,3,1
CMP-00160,AREA-0007,Sabah,Kota Kinabalu,5.916906,116.157933,4G,Good,17/12/2025,Call Drop,Fiber,In Progress,25/10/2025,2690,1,0
CMP-00161,AREA-0004,Johor,Johor Bahru,2.189465,103.269294,Fiber,Moderate,12/1/2026,Poor Coverage,5G,In Progress,4/12/2025,1028,1,0
CMP-00162,AREA-0023,Selangor,Hulu Langat,3.082371,101.592595,4G,Good,26/12/2025,Poor Coverage,4G,In Progress,2/10/2025,3289,4,0
CMP-00163,AREA-0045,Perak,Taiping,4.307778,100.683513,Fiber,Moderate,11/1/2026,Poor Coverage,4G,In Progress,17/9/2025,502,5,0
CMP-00164,AREA-0045,Perak,Taiping,4.09339,100.874647,Fiber,Moderate,11/1/2026,Call Drop,5G,Resolved,23/11/2025,2814,0,0
CMP-00165,AREA-0014,Johor,Kulai,1.863411,102.897102,4G,Good,11/1/2026,Service Outage,5G,Submitted,2/9/2025,397,4,0
CMP-00166,AREA-0039,Selangor,Petaling,3.136872,101.519196,5G,Moderate,3/1/2026,Call Drop,5G,In Progress,2/9/2025,870,5,0
CMP-00167,AREA-0012,Sarawak,Kuching,1.533227,109.950451,4G,Good,5/1/2026,Slow Speed,5G,Resolved,7/10/2025,2842,3,0
CMP-00168,AREA-0002,Sarawak,Miri,2.768283,110.976015,5G,Moderate,31/12/2025,Service Outage,Fiber,In Progress,5/11/2025,392,3,0
CMP-00169,AREA-0023,Selangor,Hulu Langat,2.851865,101.788289,4G,Good,26/12/2025,Service Outage,5G,Submitted,2/9/2025,206,3,0
CMP-00170,AREA-0002,Sarawak,Miri,1.674176,112.016656,5G,Moderate,31/12/2025,No Connectivity,4G,In Progress,1/12/2025,1038,3,0
CMP-00171,AREA-0021,Pahang,Temerloh,3.832384,103.688982,4G,Good,29/12/2025,Poor Coverage,5G,In Progress,15/10/2025,1881,3,0
CMP-00172,AREA-0014,Johor,Kulai,2.006546,102.403736,4G,Good,11/1/2026,Service Outage,4G,In Progress,13/12/2025,2939,5,0
CMP-00173,AREA-0090,Johor,Batu Pahat,1.519819,103.222045,5G,Poor,27/12/2025,Call Drop,5G,In Progress,16/9/2025,1484,5,0
CMP-00174,AREA-0041,Perak,Ipoh,4.432269,100.513488,5G,Moderate,20/12/2025,Call Drop,5G,Resolved,11/10/2025,863,2,0
CMP-00175,AREA-0000,Kedah,Sungai Petani,5.959616,100.33553,4G,Moderate,17/12/2025,Call Drop,4G,Submitted,30/10/2025,2790,1,0
